y1,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,16,332,186,1250,610,883,1066,12,9,2,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,16,333,176,1270,611,878,1046,12,9,3,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,17,335,153,1265,614,884,1049,12,9,2,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,18,338,140,1261,613,886,1069,12,9,2,1000,0.0794,0.081,1.847,0.0109,0.0018,0.03,0.18,0.0473,0.0125,0.1113,0.0405,0.0038,0.0028,0
0,18,339,167,1266,613,879,1043,12,9,3,1000,0.0794,0.081,1.847,0.0109,0.0018,0.03,0.18,0.0473,0.0125,0.1113,0.0405,0.0038,0.0028,0
0,17,339,180,1267,612,887,1048,12,9,2,1000,0.0794,0.081,1.847,0.0109,0.0018,0.03,0.18,0.0473,0.0125,0.1113,0.0405,0.0038,0.0028,0
0,18,340,188,1256,614,882,1046,12,9,3,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,18,279,80,1254,607,876,1033,12,8,1,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,16,280,115,1261,608,878,1044,12,9,2,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,20,270,83,1254,608,871,1021,12,8,1,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,14,257,76,1259,607,875,1054,13,10,1,1031,0.0743,0.106,1.833,0.0101,0.0015,0.034,0.16,0.0484,0.0114,0.121,0.0391,0.004,0.0021,0
0,15,250,94,1261,606,872,1054,13,10,3,1031,0.0743,0.106,1.833,0.0101,0.0015,0.034,0.16,0.0484,0.0114,0.121,0.0391,0.004,0.0021,0
0,16,259,106,1264,615,885,1072,13,10,2,1031,0.0743,0.106,1.833,0.0101,0.0015,0.034,0.16,0.0484,0.0114,0.121,0.0391,0.004,0.0021,0
0,19,315,134,1257,613,884,1049,12,9,3,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,19,327,156,1256,609,881,1063,12,9,2,1031,0.0785,0.111,1.882,0.0114,0.0018,0.029,0.166,0.0541,0.0147,0.1239,0.0427,0.0035,0.0024,0
0,16,254,66,1261,604,889,1071,13,11,2,1031,0.0743,0.106,1.833,0.0101,0.0015,0.034,0.16,0.0484,0.0114,0.121,0.0391,0.004,0.0021,0
0,19,256,279,1256,615,884,1035,12,9,2,1031,0.0764,0.109,1.866,0.0074,0.0014,0.019,0.156,0.051,0.0158,0.1153,0.0465,0.0038,0.0027,0
0,18,261,224,1255,617,876,1042,12,9,3,1031,0.0764,0.109,1.866,0.0074,0.0014,0.019,0.156,0.051,0.0158,0.1153,0.0465,0.0038,0.0027,0
0,18,260,215,1256,619,872,1047,12,9,1,1031,0.0764,0.109,1.866,0.0074,0.0014,0.019,0.156,0.051,0.0158,0.1153,0.0465,0.0038,0.0027,0
0,19,261,195,1251,612,867,1034,12,9,2,1031,0.0764,0.109,1.866,0.0074,0.0014,0.019,0.156,0.051,0.0158,0.1153,0.0465,0.0038,0.0027,0
0,18,262,226,1254,619,870,1041,12,9,1,1031,0.0764,0.109,1.866,0.0074,0.0014,0.019,0.156,0.051,0.0158,0.1153,0.0465,0.0038,0.0027,0
1,23,271,27,1264,579,857,1030,12,4,2,1031,0.0692,0.218,1.864,0.0079,0.0013,0.022,0.286,0.0536,0.0022,0.0907,0.037,0.0031,0.0023,0.0009
0,19,278,65,1265,579,851,1038,12,4,3,1031,0.0692,0.218,1.864,0.0079,0.0013,0.022,0.286,0.0536,0.0022,0.0907,0.037,0.0031,0.0023,0.0009
0,19,261,11,1264,615,881,1035,12,8,3,1000,0.0794,0.081,1.847,0.0109,0.0018,0.03,0.18,0.0473,0.0125,0.1113,0.0405,0.0038,0.0028,0
1,22,344,26,1264,569,826,1017,12,2,1,1000,0.0683,0.225,1.857,0.009,0.0018,0.025,0.299,0.0536,0.0022,0.081,0.0343,0.004,0.0015,0.0007
0,18,322,482,1260,626,871,1040,12,8,2,1031,0.0845,0.103,1.859,0.0092,0.0013,0.029,0.188,0.0491,0.0126,0.1147,0.0391,0.0029,0.0016,0
0,20,307,46,1256,618,873,1003,12,10,1,1000,0.074,0.09,1.851,0.0104,0.0021,0.037,0.199,0.0526,0.0023,0.0739,0.0312,0.004,0.0025,0.0014
1,22,278,284,1260,609,863,1028,12,6,1,1031,0.0777,0.125,1.844,0.0103,0.001,0.019,0.176,0.047,0.014,0.1125,0.0418,0.0035,0.0024,0
1,22,278,245,1261,584,880,989,12,5,1,1031,0.0777,0.125,1.844,0.0103,0.001,0.019,0.176,0.047,0.014,0.1125,0.0418,0.0035,0.0024,0
0,20,274,74,1257,578,859,1025,12,6,1,1031,0.0734,0.102,1.839,0.0083,0.0016,0.021,0.158,0.0496,0.0143,0.1166,0.0397,0.0033,0.0028,0
1,27,264,470,1274,611,883,1047,12,8,3,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
1,25,266,317,1274,610,877,1052,12,7,1,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
1,25,265,407,1264,610,881,1053,12,8,3,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
0,18,260,346,1270,610,890,1076,12,10,2,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
0,17,258,333,1272,606,885,1067,12,10,3,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
0,16,251,278,1262,605,884,1063,12,10,2,1031,0.0761,0.102,1.856,0.0104,0.0015,0.02,0.189,0.0513,0.0172,0.1088,0.038,0.0031,0.0019,0
0,17,243,141,1268,615,865,1044,12,9,2,1031,0.0753,0.122,1.858,0.0101,0.0013,0.034,0.186,0.0518,0.0147,0.1172,0.0446,0.0038,0.0026,0
0,18,244,161,1254,617,878,1056,12,9,1,1031,0.0753,0.122,1.858,0.0101,0.0013,0.034,0.186,0.0518,0.0147,0.1172,0.0446,0.0038,0.0026,0
0,17,237,166,1262,617,874,1046,12,9,2,1031,0.0753,0.122,1.858,0.0101,0.0013,0.034,0.186,0.0518,0.0147,0.1172,0.0446,0.0038,0.0026,0
0,16,241,109,1263,617,873,1050,12,9,1,1031,0.0753,0.122,1.858,0.0101,0.0013,0.034,0.186,0.0518,0.0147,0.1172,0.0446,0.0038,0.0026,0
0,15,233,19,1268,617,874,1052,12,8,2,1031,0.0753,0.122,1.858,0.0101,0.0013,0.034,0.186,0.0518,0.0147,0.1172,0.0446,0.0038,0.0026,0
0,18,234,303,1262,619,872,1065,12,8,1,1000,0.0699,0.09,1.838,0.0097,0.0015,0.026,0.175,0.0518,0.0131,0.1016,0.0358,0.0029,0.0027,0
1,22,250,188,1260,567,836,997,13,2,3,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,21,252,222,1266,568,834,1010,13,2,2,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
1,23,251,149,1253,569,828,994,13,2,1,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,20,253,105,1255,569,829,1000,13,2,3,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,18,278,535,1262,617,886,1070,12,9,1,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,19,275,572,1264,615,881,1058,12,9,2,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,18,284,620,1261,616,887,1068,12,9,2,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,18,271,531,1264,615,883,1062,12,9,1,1000,0.0708,0.087,1.826,0.0088,0.0018,0.02,0.181,0.0501,0.0133,0.1092,0.0344,0.0033,0.0031,0
0,17,274,554,1266,619,885,1061,12,9,2,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,19,283,653,1265,616,877,1057,12,9,1,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,18,276,582,1262,617,875,1059,12,9,2,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,19,274,556,1261,616,896,1061,12,9,1,1000,0.0708,0.087,1.826,0.0088,0.0018,0.02,0.181,0.0501,0.0133,0.1092,0.0344,0.0033,0.0031,0
0,18,272,587,1260,616,896,1062,12,9,2,1000,0.0708,0.087,1.826,0.0088,0.0018,0.02,0.181,0.0501,0.0133,0.1092,0.0344,0.0033,0.0031,0
0,17,272,504,1259,618,895,1072,12,9,1,1000,0.0708,0.087,1.826,0.0088,0.0018,0.02,0.181,0.0501,0.0133,0.1092,0.0344,0.0033,0.0031,0
0,20,276,295,1253,610,881,1051,12,8,3,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,19,279,244,1256,612,874,1052,12,9,1,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,18,279,314,1251,611,876,1048,12,9,3,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,17,279,256,1251,616,869,1050,12,9,3,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,17,278,531,1260,592,896,1057,12,9,1,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,18,276,671,1261,592,895,1053,12,9,2,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,18,276,653,1259,593,897,1054,12,9,1,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
1,22,242,307,1262,578,839,1014,12,3,1,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,22,248,285,1258,587,857,1002,12,4,1,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
1,22,249,338,1265,582,857,1007,12,4,2,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
1,22,250,450,1260,582,859,1014,12,4,1,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
0,20,250,421,1260,585,853,993,12,4,2,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
1,24,226,134,1273,585,869,1017,12,4,1,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,22,240,473,1262,577,829,1007,12,2,2,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
0,21,245,291,1257,577,836,1016,12,0,1,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,23,243,340,1257,578,836,1012,12,3,2,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,23,238,347,1261,581,828,998,12,2,1,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,22,239,286,1260,580,829,1005,12,2,2,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
1,22,239,417,1257,580,824,1001,12,2,1,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
1,25,236,577,1252,584,869,1019,12,6,2,1000,0.0776,0.1,1.864,0.0107,0.002,0.024,0.147,0.0507,0.0129,0.1214,0.0452,0.0031,0.0017,0
1,25,239,565,1256,579,883,1024,12,5,2,1000,0.078,0.082,1.923,0.0141,0.0017,0.022,0.164,0.0516,0.016,0.1215,0.0392,0.0031,0.002,0
0,21,256,81,1255,610,882,1039,12,9,2,1031,0.0742,0.119,1.887,0.0081,0.0012,0.024,0.187,0.0493,0.0148,0.1121,0.0432,0.0037,0.0031,0
1,26,260,84,1245,608,879,1032,12,8,2,1031,0.0742,0.119,1.887,0.0081,0.0012,0.024,0.187,0.0493,0.0148,0.1121,0.0432,0.0037,0.0031,0
1,29,256,82,1253,611,875,1035,12,8,1,1031,0.0742,0.119,1.887,0.0081,0.0012,0.024,0.187,0.0493,0.0148,0.1121,0.0432,0.0037,0.0031,0
1,27,238,624,1254,583,859,1023,12,5,2,1000,0.078,0.082,1.923,0.0141,0.0017,0.022,0.164,0.0516,0.016,0.1215,0.0392,0.0031,0.002,0
1,22,250,421,1260,585,853,993,12,4,2,1000,0.0693,0.193,1.89,0.0078,0.0012,0.022,0.291,0.0547,0.002,0.0896,0.0365,0.0031,0.002,0.001
0,16,242,106,1266,622,887,1065,12,9,3,1031,0.0701,0.117,1.854,0.0122,0.0014,0.027,0.174,0.0514,0.0165,0.1238,0.0447,0.0043,0.0026,0
0,17,249,82,1263,621,882,1065,12,10,1,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,17,252,107,1266,617,881,1077,12,10,2,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
0,16,253,114,1265,617,887,1090,12,10,3,1031,0.0763,0.11,1.811,0.0125,0.0009,0.018,0.171,0.0533,0.017,0.1081,0.0367,0.003,0.002,0
1,22,240,91,1253,583,891,1053,12,4,3,1031,0.0742,0.119,1.887,0.0081,0.0012,0.024,0.187,0.0493,0.0148,0.1121,0.0432,0.0037,0.0031,0
0,19,256,576,1257,615,878,1044,12,7,2,1000,0.0759,0.1,1.829,0.0112,0.0013,0.024,0.176,0.0453,0.0136,0.1222,0.0319,0.0037,0.0032,0
0,17,284,547,1250,608,879,1039,12,8,2,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,19,0,0,0,607,887,1026,12,9,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,19,309,521,1262,607,874,1038,12,8,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,20,310,502,1254,609,874,1035,12,8,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,17,311,454,1254,609,879,1053,12,8,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,20,300,524,1259,611,875,1040,12,8,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,18,315,525,1253,608,878,1047,12,8,2,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,19,302,478,1255,611,872,1042,12,8,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,18,308,492,1254,607,884,1054,12,9,2,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,19,312,500,1260,612,887,1061,12,9,1,1031,0.0697,0.108,1.821,0.0077,0.0013,0.029,0.16,0.0481,0.0156,0.1242,0.0444,0.0037,0.0027,0
0,18,322,374,1257,619,883,1047,12,11,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,16,328,433,1257,615,883,1066,12,10,2,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,19,326,421,1254,617,878,1047,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,17,269,508,1253,614,878,1048,12,10,2,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,19,270,534,1254,615,880,1047,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,18,261,287,1260,615,878,1053,12,10,2,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,17,263,300,1259,615,882,1068,12,10,3,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,18,263,311,1259,616,879,1055,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,18,264,321,1256,615,874,1058,12,10,2,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,16,269,320,1255,617,884,1068,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,19,269,335,1252,617,876,1052,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,18,265,335,1251,616,880,1057,12,10,2,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,18,259,19,1256,620,878,1055,12,10,1,1031,0.0747,0.105,1.803,0.0081,0.0007,0.027,0.141,0.0452,0.0152,0.1225,0.0395,0.0031,0.0029,0
0,21,257,470,1261,576,830,985,12,2,3,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
0,21,260,580,1253,574,828,984,12,2,2,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,22,259,471,1266,578,818,981,12,2,3,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,22,264,300,1259,585,832,1023,12,3,2,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,24,249,497,1257,585,861,1032,12,5,3,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,23,247,404,1260,585,864,1027,12,5,2,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,22,248,487,1267,587,860,1020,12,4,1,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
1,24,247,384,1264,584,861,1027,12,4,3,1000,0.0717,0.203,1.856,0.0114,0.0009,0.031,0.279,0.0553,0.0024,0.0872,0.0342,0.0033,0.0023,0.0015
0,19,249,49,1250,581,867,1030,11,5,1,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,17,246,49,1261,580,878,1007,11,6,2,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,21,248,47,1258,581,865,1032,11,5,2,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
0,15,250,52,1250,581,864,1030,11,5,1,1000,0.0675,0.209,1.855,0.0112,0.002,0.022,0.318,0.0518,0.0043,0.0852,0.0397,0.0035,0.003,0.0012
1,23,267,48,1251,582,854,998,11,3,2,1000,0.0712,0.205,1.901,0.0067,0.0013,0.022,0.279,0.0582,0.0037,0.0873,0.04,0.0033,0.0026,0.0011
1,30,220,68,1268,587,842,1033,12,5,1,1031,0.165,0.174,1.11,0.0161,0.0049,0.017,0.005,0.0281,0.0005,0.0175,0.0304,0.003,0.0019,0.0022
1,28,219,55,1264,584,856,1027,12,5,2,1031,0.1808,0.184,1.11,0.0126,0.0046,0.017,0.006,0.0291,0.0001,0.017,0.0295,0.0034,0.0023,0.0015
1,27,220,49,1255,585,865,1041,12,5,1,1031,0.1808,0.184,1.11,0.0126,0.0046,0.017,0.006,0.0291,0.0001,0.017,0.0295,0.0034,0.0023,0.0015
1,23,276,275,1245,589,839,1020,12,3,1,1000,0.0775,0.073,1.892,0.0106,0.0017,0.025,0.191,0.0481,0.0027,0.0835,0.0329,0.0034,0.0029,0.0023
1,24,273,299,1251,589,840,1016,12,3,1,1000,0.0775,0.073,1.892,0.0106,0.0017,0.025,0.191,0.0481,0.0027,0.0835,0.0329,0.0034,0.0029,0.0023
0,21,340,183,1246,573,830,1028,12,3,1,1000,0.0639,0.22,1.86,0.0085,0.0014,0.025,0.253,0.0573,0.0018,0.0858,0.04,0.0033,0.0028,0.0015
0,21,314,258,1257,585,832,1020,12,3,3,1000,0.0639,0.22,1.86,0.0085,0.0014,0.025,0.253,0.0573,0.0018,0.0858,0.04,0.0033,0.0028,0.0015
0,21,304,320,1248,587,834,1020,12,3,1,1000,0.0639,0.22,1.86,0.0085,0.0014,0.025,0.253,0.0573,0.0018,0.0858,0.04,0.0033,0.0028,0.0015
0,21,311,328,1248,586,834,1024,12,3,3,1000,0.0639,0.22,1.86,0.0085,0.0014,0.025,0.253,0.0573,0.0018,0.0858,0.04,0.0033,0.0028,0.0015
1,23,310,346,1257,584,840,1028,12,3,1,1000,0.0639,0.22,1.86,0.0085,0.0014,0.025,0.253,0.0573,0.0018,0.0858,0.04,0.0033,0.0028,0.0015
